title,year,department,award,film,img_link,film_link
Awards,2007,Commissioned Films,"Advertising or promotional film Award
","United Airlines ""The Meeting""",https://www.annecy.org/resources/images/t/20070483.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070483
Awards,2006,Feature films,"The Cristal for best feature
",Renaissance,https://www.annecy.org/resources/images/t/20061585.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061585
Awards,2006,Short films,"Unicef Award
",Cherno na byalo,https://www.annecy.org/resources/images/t/20060439.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060439
Awards,2006,Short films,"""Jean-Luc Xiberras"" Award for a first film
",Delivery,https://www.annecy.org/resources/images/t/20060765.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060765
Awards,2006,Short films,"Special Jury Award
Audience Award
Fipresci Award
",Dreams and Desires - Family Ties,https://www.annecy.org/resources/images/t/20060846.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060846
Awards,2006,Short films,"The Annecy Cristal
",Historia trágica con final feliz,https://www.annecy.org/resources/images/t/20060128.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060128
Awards,2006,Short films,"Junior Jury Award for a short film
",One D,https://www.annecy.org/resources/images/t/20061516.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061516
Awards,2006,Short films,"Special Distinction
",Rabbit,https://www.annecy.org/resources/images/t/20060255.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060255
Awards,2006,Advertising films,"Advertising or promotional film Award
",Médecins sans frontières “Human Ball”,https://www.annecy.org/resources/images/t/20061699.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061699
Awards,2006,Graduation Films,"Special Distinction
",Abigail,https://www.annecy.org/resources/images/t/20060139.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060139
Awards,2006,Graduation Films,"Award for best graduation film
",Astronauts,https://www.annecy.org/resources/images/t/20061244.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061244
Awards,2006,Graduation Films,"Junior Jury Award for a graduation film
",Ego,https://www.annecy.org/resources/images/t/20061254.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061254
Awards,2006,Graduation Films,"Special Jury Award
",Walking in the Rainy Day,https://www.annecy.org/resources/images/t/20061396.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061396
Awards,2006,TV films,"Award for best TV special
",Petit Wang,https://www.annecy.org/resources/images/t/20061608.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061608
Awards,2006,TV films,"The Cristal for best TV production
","Pocoyo ""A Little Something Between Friends""",https://www.annecy.org/resources/images/t/20060395.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060395
Awards,2006,TV films,"Special Award for a TV series
","Zombie Hotel  ""First Day""",https://www.annecy.org/resources/images/t/20060162.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20060162
Awards,2006,Commissioned Films,"Educational, scientific or industrial film Award
",The Birds & The Bees - A Secret You Shouldn't Keep,https://www.annecy.org/resources/images/t/20061636.jpg,https://www.annecy.org/about/archives/2006/award-winners/film-index:film-20061636
